County,Crop,Crop Variable,Weather Variable,Correlation
Fresno,GRAPES WINE,Production Per Acre,high_temp_days,0.36379943574707835
Fresno,GRAPES WINE,Production Per Acre,low_temp_days,-0.17318376629208146
Fresno,GRAPES WINE,Production Per Acre,heavy_rain_days,-0.05218879544311582
Fresno,GRAPES WINE,Production Per Acre,snow_days,0.02211804690265336
Fresno,GRAPES WINE,Production Per Acre,high_wind_days,0.4959904785639593
Fresno,GRAPES WINE,Production Per Acre,low_visibility_days,-0.39483574011184025
Fresno,GRAPES WINE,Production Per Acre,cloudy_days,-0.10452599186366862
Tulare,ALMONDS ALL,Yield Per Acre,high_temp_days,-0.5670356673081639
Tulare,ALMONDS ALL,Yield Per Acre,low_temp_days,0.4386912184294549
Tulare,ALMONDS ALL,Yield Per Acre,heavy_rain_days,-0.20171250426517517
Tulare,ALMONDS ALL,Yield Per Acre,snow_days,0.10203058099854437
Tulare,ALMONDS ALL,Yield Per Acre,high_wind_days,-0.5973568898408931
Tulare,ALMONDS ALL,Yield Per Acre,low_visibility_days,0.6108468017624833
Tulare,ALMONDS ALL,Yield Per Acre,cloudy_days,0.018116221856604994
Tulare,ALMONDS ALL,Production Per Acre,high_temp_days,0.4674108057303976
Tulare,ALMONDS ALL,Production Per Acre,low_temp_days,-0.10607884519838545
Tulare,ALMONDS ALL,Production Per Acre,heavy_rain_days,-0.34586035200099413
Tulare,ALMONDS ALL,Production Per Acre,snow_days,0.12705584370973846
Tulare,ALMONDS ALL,Production Per Acre,high_wind_days,0.5222092683113135
Tulare,ALMONDS ALL,Production Per Acre,low_visibility_days,-0.49489172487542116
Tulare,ALMONDS ALL,Production Per Acre,cloudy_days,-0.5174104301167745
Tulare,GRAPES WINE,Yield Per Acre,high_temp_days,0.5829802771286715
Tulare,GRAPES WINE,Yield Per Acre,low_temp_days,-0.16952755970373953
Tulare,GRAPES WINE,Yield Per Acre,heavy_rain_days,0.0016412497017617325
Tulare,GRAPES WINE,Yield Per Acre,snow_days,-0.11489223456293819
Tulare,GRAPES WINE,Yield Per Acre,high_wind_days,0.612102560670171
Tulare,GRAPES WINE,Yield Per Acre,low_visibility_days,-0.4708674211777882
Tulare,GRAPES WINE,Yield Per Acre,cloudy_days,-0.243216011444759
Tulare,GRAPES WINE,Production Per Acre,high_temp_days,0.6302146375637563
Tulare,GRAPES WINE,Production Per Acre,low_temp_days,-0.3461788014958186
Tulare,GRAPES WINE,Production Per Acre,heavy_rain_days,0.00842857231297047
Tulare,GRAPES WINE,Production Per Acre,snow_days,-0.08233279388092782
Tulare,GRAPES WINE,Production Per Acre,high_wind_days,0.7636130247166772
Tulare,GRAPES WINE,Production Per Acre,low_visibility_days,-0.6235360028446378
Tulare,GRAPES WINE,Production Per Acre,cloudy_days,-0.29230202994583615
Alameda,GRAPES WINE,Yield Per Acre,high_temp_days,0.05369271795717377
Alameda,GRAPES WINE,Yield Per Acre,low_temp_days,0.12493581177204675
Alameda,GRAPES WINE,Yield Per Acre,heavy_rain_days,-0.10246045725953956
Alameda,GRAPES WINE,Yield Per Acre,snow_days,
Alameda,GRAPES WINE,Yield Per Acre,high_wind_days,0.08364216063985991
Alameda,GRAPES WINE,Yield Per Acre,low_visibility_days,
Alameda,GRAPES WINE,Yield Per Acre,cloudy_days,0.0333794032078865
Alameda,GRAPES WINE,Production Per Acre,high_temp_days,0.2518717608220057
Alameda,GRAPES WINE,Production Per Acre,low_temp_days,-0.13619489767913476
Alameda,GRAPES WINE,Production Per Acre,heavy_rain_days,-0.0547290264967281
Alameda,GRAPES WINE,Production Per Acre,snow_days,
Alameda,GRAPES WINE,Production Per Acre,high_wind_days,-0.4333278195896766
Alameda,GRAPES WINE,Production Per Acre,low_visibility_days,
Alameda,GRAPES WINE,Production Per Acre,cloudy_days,-0.03720059302504128
Napa,GRAPES WINE,Yield Per Acre,high_temp_days,-0.22520322318986435
Napa,GRAPES WINE,Yield Per Acre,low_temp_days,0.2826995631197261
Napa,GRAPES WINE,Yield Per Acre,heavy_rain_days,0.048337195899761834
Napa,GRAPES WINE,Yield Per Acre,snow_days,
Napa,GRAPES WINE,Yield Per Acre,high_wind_days,0.5782498346117094
Napa,GRAPES WINE,Yield Per Acre,low_visibility_days,
Napa,GRAPES WINE,Yield Per Acre,cloudy_days,0.12986167620473196
Napa,GRAPES WINE,Production Per Acre,high_temp_days,-0.20070376606696952
Napa,GRAPES WINE,Production Per Acre,low_temp_days,0.1402425072794493
Napa,GRAPES WINE,Production Per Acre,heavy_rain_days,-0.13043141395836627
Napa,GRAPES WINE,Production Per Acre,snow_days,
Napa,GRAPES WINE,Production Per Acre,high_wind_days,0.2063854261522461
Napa,GRAPES WINE,Production Per Acre,low_visibility_days,
Napa,GRAPES WINE,Production Per Acre,cloudy_days,0.05361516955606202
Riverside,GRAPES WINE,Yield Per Acre,high_temp_days,-0.05155706199185881
Riverside,GRAPES WINE,Yield Per Acre,low_temp_days,-0.0871314874924312
Riverside,GRAPES WINE,Yield Per Acre,heavy_rain_days,0.3924345941871269
Riverside,GRAPES WINE,Yield Per Acre,snow_days,-0.0683200240803699
Riverside,GRAPES WINE,Yield Per Acre,high_wind_days,0.18466975834633198
Riverside,GRAPES WINE,Yield Per Acre,low_visibility_days,0.2722331738138889
Riverside,GRAPES WINE,Yield Per Acre,cloudy_days,0.05407552424668723
Riverside,GRAPES WINE,Production Per Acre,high_temp_days,0.024605311790115103
Riverside,GRAPES WINE,Production Per Acre,low_temp_days,-0.04877538136776588
Riverside,GRAPES WINE,Production Per Acre,heavy_rain_days,0.2871485621766729
Riverside,GRAPES WINE,Production Per Acre,snow_days,-0.07914298372885802
Riverside,GRAPES WINE,Production Per Acre,high_wind_days,0.06334331303096079
Riverside,GRAPES WINE,Production Per Acre,low_visibility_days,0.03469190207936525
Riverside,GRAPES WINE,Production Per Acre,cloudy_days,0.23928945159745257
Sonoma,GRAPES WINE,Yield Per Acre,high_temp_days,-0.12987243956254452
Sonoma,GRAPES WINE,Yield Per Acre,low_temp_days,0.24017058873151542
Sonoma,GRAPES WINE,Yield Per Acre,heavy_rain_days,0.0226822353996405
Sonoma,GRAPES WINE,Yield Per Acre,snow_days,
Sonoma,GRAPES WINE,Yield Per Acre,high_wind_days,0.5690211604492923
Sonoma,GRAPES WINE,Yield Per Acre,low_visibility_days,
Sonoma,GRAPES WINE,Yield Per Acre,cloudy_days,0.08496538415592363
Sonoma,GRAPES WINE,Production Per Acre,high_temp_days,-0.01498977438718636
Sonoma,GRAPES WINE,Production Per Acre,low_temp_days,-0.0068530403438486365
Sonoma,GRAPES WINE,Production Per Acre,heavy_rain_days,-0.11781482683495885
Sonoma,GRAPES WINE,Production Per Acre,snow_days,
Sonoma,GRAPES WINE,Production Per Acre,high_wind_days,0.0256263116387856
Sonoma,GRAPES WINE,Production Per Acre,low_visibility_days,
Sonoma,GRAPES WINE,Production Per Acre,cloudy_days,-0.02961139452131394
Mendocino,GRAPES WINE,Yield Per Acre,high_temp_days,0.08031405615779016
Mendocino,GRAPES WINE,Yield Per Acre,low_temp_days,-0.26285290163598385
Mendocino,GRAPES WINE,Yield Per Acre,heavy_rain_days,-0.09476495087938684
Mendocino,GRAPES WINE,Yield Per Acre,snow_days,0.005744558447392645
Mendocino,GRAPES WINE,Yield Per Acre,high_wind_days,0.22108165259146872
Mendocino,GRAPES WINE,Yield Per Acre,low_visibility_days,0.32985486321164076
Mendocino,GRAPES WINE,Yield Per Acre,cloudy_days,0.10049876142701042
Mendocino,GRAPES WINE,Production Per Acre,high_temp_days,0.07028864055783804
Mendocino,GRAPES WINE,Production Per Acre,low_temp_days,-0.10908942345380995
Mendocino,GRAPES WINE,Production Per Acre,heavy_rain_days,-0.03351051992623063
Mendocino,GRAPES WINE,Production Per Acre,snow_days,-0.13687359108219505
Mendocino,GRAPES WINE,Production Per Acre,high_wind_days,-0.002024578890835012
Mendocino,GRAPES WINE,Production Per Acre,low_visibility_days,0.1534925268701597
Mendocino,GRAPES WINE,Production Per Acre,cloudy_days,0.008372216337256527
El Dorado,GRAPES WINE,Yield Per Acre,high_temp_days,-0.19555036580659718
El Dorado,GRAPES WINE,Yield Per Acre,low_temp_days,0.48098734711000213
El Dorado,GRAPES WINE,Yield Per Acre,heavy_rain_days,-0.08365576752424453
El Dorado,GRAPES WINE,Yield Per Acre,snow_days,0.3575344651307036
El Dorado,GRAPES WINE,Yield Per Acre,high_wind_days,-0.5356872762675242
El Dorado,GRAPES WINE,Yield Per Acre,low_visibility_days,-0.3994056393224114
El Dorado,GRAPES WINE,Yield Per Acre,cloudy_days,0.30278204438316086
El Dorado,GRAPES WINE,Production Per Acre,high_temp_days,-0.36161769452114784
El Dorado,GRAPES WINE,Production Per Acre,low_temp_days,0.40041695121983506
El Dorado,GRAPES WINE,Production Per Acre,heavy_rain_days,0.07171958548475599
El Dorado,GRAPES WINE,Production Per Acre,snow_days,0.5076198178339589
El Dorado,GRAPES WINE,Production Per Acre,high_wind_days,-0.5559643862699443
El Dorado,GRAPES WINE,Production Per Acre,low_visibility_days,-0.34071546671927033
El Dorado,GRAPES WINE,Production Per Acre,cloudy_days,0.4574037834045407
